CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
3616,25070,109184,PDC,51
3616,25070,109184,LIBRE,85
3616,25070,109244,PDC,13
3616,25070,109244,LIBRE,114
3616,25070,109274,PDC,28
3616,25070,109274,LIBRE,101
3616,25070,109334,PDC,20
3616,25070,109334,LIBRE,114
3616,25070,109354,PDC,27
3616,25070,109354,LIBRE,95
3616,25071,109424,PDC,62
3616,25071,109424,LIBRE,96
3616,25071,109434,PDC,32
3616,25071,109434,LIBRE,103
3616,25071,109444,PDC,63
3616,25071,109444,LIBRE,92
3616,25071,109464,PDC,41
3616,25071,109464,LIBRE,99
3616,25071,109474,PDC,47
3616,25071,109474,LIBRE,99
3616,25071,109504,PDC,54
3616,25071,109504,LIBRE,72
3616,25072,109564,PDC,60
3616,25072,109564,LIBRE,89
3616,25072,109574,PDC,56
3616,25072,109574,LIBRE,78
3616,25072,109594,PDC,50
3616,25072,109594,LIBRE,82
3616,25072,109604,PDC,60
3616,25072,109604,LIBRE,91
3616,25072,109614,PDC,66
3616,25072,109614,LIBRE,72
3616,25072,109794,PDC,43
3616,25072,109794,LIBRE,103
3616,25072,109814,PDC,60
3616,25072,109814,LIBRE,83
3616,25072,109834,PDC,58
3616,25072,109834,LIBRE,77
3617,25073,109854,PDC,45
3617,25073,109854,LIBRE,96
3617,25073,109864,PDC,38
3617,25073,109864,LIBRE,95
3617,25073,109874,PDC,46
3617,25073,109874,LIBRE,104
3617,25073,109934,PDC,25
3617,25073,109934,LIBRE,49
3617,25073,110034,PDC,44
3617,25073,110034,LIBRE,106
3617,25073,110044,PDC,41
3617,25073,110044,LIBRE,96
3617,25073,110074,PDC,44
3617,25073,110074,LIBRE,98
3617,25073,110084,PDC,62
3617,25073,110084,LIBRE,88
3617,25073,110124,PDC,46
3617,25073,110124,LIBRE,91
3617,25073,110144,PDC,46
3617,25073,110144,LIBRE,86
3617,25073,110154,PDC,38
3617,25073,110154,LIBRE,102
3617,25075,110234,PDC,26
3617,25075,110234,LIBRE,107
3617,25075,110264,PDC,58
3617,25075,110264,LIBRE,94
3617,25075,110274,PDC,35
3617,25075,110274,LIBRE,106
3617,25075,110304,PDC,31
3617,25075,110304,LIBRE,113
3617,25075,110314,PDC,23
3617,25075,110314,LIBRE,111
3617,26180,110424,PDC,48
3617,26180,110424,LIBRE,101
3617,26180,110474,PDC,66
3617,26180,110474,LIBRE,76
3617,26180,110544,PDC,49
3617,26180,110544,LIBRE,78
3617,26180,110644,PDC,73
3617,26180,110644,LIBRE,74
3617,26180,110654,PDC,47
3617,26180,110654,LIBRE,101
3617,26180,110664,PDC,45
3617,26180,110664,LIBRE,90
3618,25076,110774,PDC,28
3618,25076,110774,LIBRE,104
3618,25076,110804,PDC,33
3618,25076,110804,LIBRE,102
3618,25076,110814,PDC,32
3618,25076,110814,LIBRE,123
3618,25076,110834,PDC,29
3618,25076,110834,LIBRE,111
3618,25076,110854,PDC,22
3618,25076,110854,LIBRE,122
3618,25076,110914,PDC,30
3618,25076,110914,LIBRE,104
3770,26186,110984,PDC,70
3770,26186,110984,LIBRE,75
3770,26186,111004,PDC,47
3770,26186,111004,LIBRE,85
3772,25097,111264,PDC,27
3772,25097,111264,LIBRE,98
3772,25097,111294,PDC,37
3772,25097,111294,LIBRE,85
3772,25097,111344,PDC,42
3772,25097,111344,LIBRE,92
3772,25097,111354,PDC,28
3772,25097,111354,LIBRE,110
3772,25097,111364,PDC,45
3772,25097,111364,LIBRE,91
3772,25097,111384,PDC,37
3772,25097,111384,LIBRE,104
3772,25097,111404,PDC,47
3772,25097,111404,LIBRE,99
3772,25097,111424,PDC,45
3772,25097,111424,LIBRE,80
3772,25097,111444,PDC,54
3772,25097,111444,LIBRE,87
3772,25097,111494,PDC,46
3772,25097,111494,LIBRE,109
3773,25098,111534,PDC,59
3773,25098,111534,LIBRE,48
3773,25098,111544,PDC,37
3773,25098,111544,LIBRE,47
3773,25098,111554,PDC,24
3773,25098,111554,LIBRE,58
3773,25098,111644,PDC,26
3773,25098,111644,LIBRE,67
4392,26104,111654,PDC,31
4392,26104,111654,LIBRE,28
3774,26117,111694,PDC,52
3774,26117,111694,LIBRE,73
3799,25124,111904,PDC,43
3799,25124,111904,LIBRE,125
3800,25125,111924,PDC,50
3800,25125,111924,LIBRE,147
3800,25125,111934,PDC,42
3800,25125,111934,LIBRE,173
3800,25125,111974,PDC,49
3800,25125,111974,LIBRE,132
3800,25125,112024,PDC,32
3800,25125,112024,LIBRE,171
3801,25126,112034,PDC,22
3801,25126,112034,LIBRE,171
3801,25126,112104,PDC,30
3801,25126,112104,LIBRE,151
3820,26120,112344,PDC,4
3820,26120,112344,LIBRE,30
3792,32417,112354,PDC,105
3792,32417,112354,LIBRE,107
3792,32417,112364,PDC,17
3792,32417,112364,LIBRE,18
2794,517,1000381,PDC,31
2794,517,1000381,LIBRE,160
2794,517,1000391,PDC,31
2794,517,1000391,LIBRE,175
2794,517,1000401,PDC,24
2794,517,1000401,LIBRE,173
2794,202,1000501,PDC,34
2794,202,1000501,LIBRE,171
2794,202,1000511,PDC,27
2794,202,1000511,LIBRE,183
2794,202,1000521,PDC,33
2794,202,1000521,LIBRE,169
2794,202,1000531,PDC,28
2794,202,1000531,LIBRE,187
2794,202,1000561,PDC,23
2794,202,1000561,LIBRE,170
2794,202,1000571,PDC,17
2794,202,1000571,LIBRE,98
2794,204,1000581,PDC,36
2794,204,1000581,LIBRE,168
2794,204,1000591,PDC,36
2794,204,1000591,LIBRE,171
2794,204,1000601,PDC,25
2794,204,1000601,LIBRE,180
2794,204,1000611,PDC,25
2794,204,1000611,LIBRE,170
2794,204,1000621,PDC,10
2794,204,1000621,LIBRE,72
2794,115,1000861,PDC,38
2794,115,1000861,LIBRE,157
2794,115,1000881,PDC,48
2794,115,1000881,LIBRE,158
2794,115,1000901,PDC,48
2794,115,1000901,LIBRE,148
2794,515,1001151,PDC,32
2794,515,1001151,LIBRE,177
2794,515,1001161,PDC,39
2794,515,1001161,LIBRE,163
2794,515,1001181,PDC,18
2794,515,1001181,LIBRE,81
2794,536,1002201,PDC,49
2794,536,1002201,LIBRE,160
2794,536,1002211,PDC,60
2794,536,1002211,LIBRE,144
2794,25577,1002221,PDC,40
2794,25577,1002221,LIBRE,171
2794,25577,1002231,PDC,7
2794,25577,1002231,LIBRE,34
2794,512,1002311,PDC,39
2794,512,1002311,LIBRE,165
2794,512,1002321,PDC,35
2794,512,1002321,LIBRE,162
2794,512,1002331,PDC,50
2794,512,1002331,LIBRE,145
2794,32387,1004111,PDC,28
2794,32387,1004111,LIBRE,51
2794,117,1004251,PDC,37
2794,117,1004251,LIBRE,166
2794,117,1004261,PDC,44
2794,117,1004261,LIBRE,160
2794,117,1004271,PDC,31
2794,117,1004271,LIBRE,178
2794,117,1004281,PDC,35
2794,117,1004281,LIBRE,161
2794,117,1004291,PDC,40
2794,117,1004291,LIBRE,166
2794,117,1004311,PDC,41
2794,117,1004311,LIBRE,172
2794,117,1004321,PDC,35
2794,117,1004321,LIBRE,169
2794,117,1004331,PDC,43
2794,117,1004331,LIBRE,166
2794,117,1004341,PDC,42
2794,117,1004341,LIBRE,164
2794,117,1004351,PDC,43
2794,117,1004351,LIBRE,169
2794,117,1004371,PDC,53
2794,117,1004371,LIBRE,148
2794,117,1004381,PDC,40
2794,117,1004381,LIBRE,155
2794,32162,1006511,PDC,83
2794,32162,1006511,LIBRE,124
2794,32162,1006521,PDC,62
2794,32162,1006521,LIBRE,154
2794,32162,1006531,PDC,76
2794,32162,1006531,LIBRE,139
2794,32162,1006541,PDC,80
2794,32162,1006541,LIBRE,152
2794,25569,1007091,PDC,74
2794,25569,1007091,LIBRE,124
2794,25569,1007101,PDC,72
2794,25569,1007101,LIBRE,127
2794,25569,1007111,PDC,89
2794,25569,1007111,LIBRE,101
2794,25569,1007121,PDC,82
2794,25569,1007121,LIBRE,134
2794,25569,1007131,PDC,67
2794,25569,1007131,LIBRE,130
2794,25569,1007141,PDC,65
2794,25569,1007141,LIBRE,143
2794,25569,1007151,PDC,41
2794,25569,1007151,LIBRE,48
2794,25530,1007161,PDC,48
2794,25530,1007161,LIBRE,164
2794,25530,1007171,PDC,66
2794,25530,1007171,LIBRE,145
2794,25530,1007181,PDC,58
2794,25530,1007181,LIBRE,153
2794,25530,1007191,PDC,48
2794,25530,1007191,LIBRE,153
2794,25530,1007201,PDC,45
2794,25530,1007201,LIBRE,157
2794,25530,1007211,PDC,41
2794,25530,1007211,LIBRE,170
2794,25530,1007221,PDC,34
2794,25530,1007221,LIBRE,154
2794,506,1007231,PDC,32
2794,506,1007231,LIBRE,166
2794,506,1007241,PDC,56
2794,506,1007241,LIBRE,144
2794,506,1007251,PDC,42
