CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
3619,25204,106184,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Técnica Estadual Carlos de Campos,6
3619,25204,106204,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Técnica Estadual Carlos de Campos,14
3619,25204,106244,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Técnica Estadual Carlos de Campos,10
3619,25204,106264,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Técnica Estadual Carlos de Campos,12
3619,25205,106284,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Orestes Guimarães,2
3619,25305,106374,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,1
3619,25305,106414,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,5
3619,25305,106424,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,6
3619,25305,106444,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,14
3619,25305,106454,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,15
3619,25305,106524,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,10
3619,25305,106534,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,11
3619,25305,106544,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Eduardo Prado,12
3619,26123,106644,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escola Municipal Ensino Fundamental Analia Franco Bastos,16
3619,26123,106654,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escola Municipal Ensino Fundamental Analia Franco Bastos,17
3619,26123,106674,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escola Municipal Ensino Fundamental Analia Franco Bastos,8
3619,26123,106714,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escola Municipal Ensino Fundamental Analia Franco Bastos,12
4151,26121,106774,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,2,Guarulhos,Guarulhos,Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias,6
4386,26098,106924,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,4,Carapicuíba,Carapicuíba,Esc. Mun. Educ. Fundamental Professora Nai Molina do Amaral,1
4386,26098,106934,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,4,Carapicuíba,Carapicuíba,Esc. Mun. Educ. Fundamental Professora Nai Molina do Amaral,2
4387,26099,106954,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,5,Itaquaquecetuba,Itaquaquecetuba,Escuela Estadual Homero Fernando Milano,2
4387,26099,106964,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,5,Itaquaquecetuba,Itaquaquecetuba,Escuela Estadual Homero Fernando Milano,3
3776,25101,107034,34,Brasil,33,Río de Janeiro,0,0,3,Río de Janeiro,1,Río de Janeiro,Río de Janeiro,Escola Municipal Rivadavia Corrêa,2
3779,25104,107114,44,Chile,36,Metropolitana,0,0,1,Santiago,1,Santiago,Santiago,Colegio Sagrados Corazones del Arzobispado de Santiago,1
3779,25104,107204,44,Chile,36,Metropolitana,0,0,1,Santiago,1,Santiago,Santiago,Colegio Sagrados Corazones del Arzobispado de Santiago,20
3779,25104,107224,44,Chile,36,Metropolitana,0,0,1,Santiago,1,Santiago,Santiago,Colegio Sagrados Corazones del Arzobispado de Santiago,22
3779,25104,107234,44,Chile,36,Metropolitana,0,0,1,Santiago,1,Santiago,Santiago,Colegio Sagrados Corazones del Arzobispado de Santiago,23
3779,25104,107244,44,Chile,36,Metropolitana,0,0,1,Santiago,1,Santiago,Santiago,Colegio Sagrados Corazones del Arzobispado de Santiago,24
3779,25104,107304,44,Chile,36,Metropolitana,0,0,1,Santiago,1,Santiago,Santiago,Colegio Sagrados Corazones del Arzobispado de Santiago,18
3779,25104,107314,44,Chile,36,Metropolitana,0,0,1,Santiago,1,Santiago,Santiago,Colegio Sagrados Corazones del Arzobispado de Santiago,7
3781,25106,107544,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",4
3781,25106,107644,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",19
3781,25106,107684,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",23
3781,25106,107694,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",24
3781,25106,107704,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",13
3781,25106,107744,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",17
3781,25106,107754,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",18
3781,25106,107764,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",7
3781,25106,107794,44,Chile,38,Antofagasta,0,0,3,Antofagasta,1,Antofagasta,Antofagasta,"Liceo Tecnico Humanistico A-14, Antofagasta",10
3782,25107,107834,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,2
3782,25107,107844,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,3
3782,25107,107854,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,4
3782,25107,107974,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,26
3782,25107,107994,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,28
3782,25107,108004,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,29
3782,25107,108034,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,20
3782,25107,108044,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,21
3782,25107,108064,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,23
3782,25107,108114,44,Chile,38,Antofagasta,0,0,4,El Loa,1,Calama,Calama,Escuela Básica D-37 República de Bolivia,16
3783,25108,108224,44,Chile,39,Tarapaca,0,0,5,Iquique,1,Iquique,Iquique,Colegio Bernardo O´higgins,3
3783,25108,108264,44,Chile,39,Tarapaca,0,0,5,Iquique,1,Iquique,Iquique,Colegio Bernardo O´higgins,25
3783,25108,108274,44,Chile,39,Tarapaca,0,0,5,Iquique,1,Iquique,Iquique,Colegio Bernardo O´higgins,26
3783,25108,108374,44,Chile,39,Tarapaca,0,0,5,Iquique,1,Iquique,Iquique,Colegio Bernardo O´higgins,24
